route_id,group_id
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
10000,1
10001,1
10002,1
10003,1
10004,1
10005,1
10006,1
10007,1
10008,1
10009,1
10010,1
10011,1
10012,1
10013,1
10014,1
10015,1
10016,1
10017,1
10018,1
10019,1
10020,1
10021,1
10022,1
10023,1
10024,1
10025,1
10026,1
10027,1
10028,1
10029,1
10030,1
10031,1
10032,1
10033,1
10034,1
10035,1
10036,1
10037,1
10038,1
10039,1
10040,1
10041,1
10042,1
10043,1
10044,1
10045,1
10046,1
10047,1
10048,1
10049,1
10050,1
10051,1
10052,1
10053,1
10054,1
10055,1
10056,1
10057,1
10058,1
10059,1
10060,1
10061,1
10062,1
10063,1
10064,1
10065,1
10066,1
10067,1
10068,1
10069,1
10070,1
10071,1
10072,1
10073,1
10074,1
10075,1
10076,1
10077,1
10078,1
10079,1
10080,1
10081,1
10082,1
10083,1
10084,1
10085,1
10086,1
10087,1
10088,1
10089,1
10090,1
10091,1
10092,1
10093,1
10094,1
10095,1
10096,1
10097,1
10098,1
10099,1
10100,1
10101,1
10102,1
10103,1
10104,1
10105,1
10106,1
10107,1
10108,1
10109,1
10110,1
10111,1
10112,1
1,2
2,2
3,2
4,2
5,2
10000,2
10007,2
10008,2
10009,2
10010,2
10011,2
10012,2
10013,2
10014,2
10015,2
10016,2
10017,2
10018,2
10019,2
10020,2
10021,2
10022,2
10023,2
10024,2
10025,2
10026,2
10027,2
10028,2
10029,2
10030,2
10031,2
10032,2
10033,2
10034,2
10035,2
10036,2
10083,2
10084,2
1,3
2,3
3,3
4,3
5,3
10000,3
10001,3
10002,3
10003,3
10004,3
10005,3
10006,3
10037,3
10038,3
10039,3
10040,3
10041,3
10042,3
10043,3
10044,3
10085,3
10086,3
10087,3
10088,3
10089,3
10090,3
1,4
2,4
3,4
4,4
5,4
10000,4
10045,4
10046,4
10047,4
10048,4
10049,4
10050,4
10051,4
10052,4
10053,4
10054,4
10055,4
10056,4
10057,4
10058,4
10059,4
10060,4
10061,4
10062,4
10063,4
10064,4
10091,4
10092,4
10093,4
10094,4                                   
10101,4
10102,4
10103,4
10104,4
10109,4
10110,4
10111,4
10112,4
1,5
2,5
3,5
4,5
5,5
10000,5
10065,5
10066,5
10067,5
10068,5
10069,5
10070,5
10071,5
10072,5
10073,5
10074,5
10075,5
10076,5
10077,5
10078,5
10079,5
10080,5
10081,5
10082,5
10083,5
10084,5
10095,5            
10096,5            
10097,5            
10098,5            
10099,5            
10100,5                  
10105,5            
10106,5            
10107,5            
10108,5
